indicator_id,indicator_name,domain,agency_name,dimension_category,dimension,industry,interval,period,unit,value
174,Accepted DHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,1st Quintile,,Calendar Year,2020,individual,287
174,Accepted DHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,2nd Quintile,,Calendar Year,2020,individual,303
174,Accepted DHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,3rd Quintile,,Calendar Year,2020,individual,61
174,Accepted DHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,4th Quintile,,Calendar Year,2020,individual,0
174,Accepted DHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,5th Quintile,,Calendar Year,2020,individual,0
174,Accepted DHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,1st Quintile,,Calendar Year,2021,individual,185
174,Accepted DHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,2nd Quintile,,Calendar Year,2021,individual,218
174,Accepted DHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,3rd Quintile,,Calendar Year,2021,individual,46
174,Accepted DHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,4th Quintile,,Calendar Year,2021,individual,0
174,Accepted DHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,5th Quintile,,Calendar Year,2021,individual,0
172,Accepted SCHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,1st Quintile,,Calendar Year,2020,individual,2330
172,Accepted SCHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,2nd Quintile,,Calendar Year,2020,individual,3210
172,Accepted SCHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,3rd Quintile,,Calendar Year,2020,individual,1032
172,Accepted SCHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,4th Quintile,,Calendar Year,2020,individual,0
172,Accepted SCHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,5th Quintile,,Calendar Year,2020,individual,0
172,Accepted SCHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,1st Quintile,,Calendar Year,2021,individual,1829
172,Accepted SCHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,2nd Quintile,,Calendar Year,2021,individual,2705
172,Accepted SCHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,3rd Quintile,,Calendar Year,2021,individual,967
172,Accepted SCHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,4th Quintile,,Calendar Year,2021,individual,0
172,Accepted SCHE Applications,Economic Security and Mobility,Department of Finance (DOF),Income,5th Quintile,,Calendar Year,2021,individual,0
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Gender,Female/Woman,,Calendar Year,2019,individual,25411
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Gender,Male/Man,,Calendar Year,2019,individual,22767
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,Asian (non-Hispanic),,Calendar Year,2019,individual,1949
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,Black/African American/African (non-Hispanic),,Calendar Year,2019,individual,20366
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,Hispanic/Latina/o/x,,Calendar Year,2019,individual,20732
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,Other,,Calendar Year,2019,individual,1220
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,Prefer not to say or Blank,,Calendar Year,2019,individual,411
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,White,,Calendar Year,2019,individual,3500
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Ethnicity,Hispanic/Latina/o/x,,Calendar Year,2020,individual,17608
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Ethnicity,Non Hispanic or Latinx,,Calendar Year,2020,individual,13
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Ethnicity,Prefer not to say or Blank,,Calendar Year,2020,individual,23014
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Gender,Female/Woman,,Calendar Year,2020,individual,21499
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Gender,Male/Man,,Calendar Year,2020,individual,19135
